event_id,event_name,date,mentions,sentiment_score,trending
EVT_0000,Taylor Swift - Chicago,2024-04-05,3442,0.64,1
EVT_0000,Taylor Swift - Chicago,2024-04-06,3377,0.84,1
EVT_0000,Taylor Swift - Chicago,2024-04-07,3674,0.91,1
EVT_0000,Taylor Swift - Chicago,2024-04-08,3968,0.84,1
EVT_0000,Taylor Swift - Chicago,2024-04-09,2926,0.69,0
EVT_0000,Taylor Swift - Chicago,2024-04-10,4069,0.94,1
EVT_0000,Taylor Swift - Chicago,2024-04-11,3318,0.82,1
EVT_0000,Taylor Swift - Chicago,2024-04-12,4186,0.92,1
EVT_0000,Taylor Swift - Chicago,2024-04-13,4201,0.71,1
EVT_0000,Taylor Swift - Chicago,2024-04-14,4583,0.92,1
EVT_0000,Taylor Swift - Chicago,2024-04-15,4393,0.9,1
EVT_0000,Taylor Swift - Chicago,2024-04-16,5231,0.71,1
EVT_0000,Taylor Swift - Chicago,2024-04-17,5106,0.76,1
EVT_0000,Taylor Swift - Chicago,2024-04-18,4873,0.91,1
EVT_0000,Taylor Swift - Chicago,2024-04-19,4482,0.85,1
EVT_0000,Taylor Swift - Chicago,2024-04-20,5021,0.7,1
EVT_0000,Taylor Swift - Chicago,2024-04-21,5737,0.85,1
EVT_0000,Taylor Swift - Chicago,2024-04-22,5061,0.84,1
EVT_0000,Taylor Swift - Chicago,2024-04-23,6546,0.86,1
EVT_0000,Taylor Swift - Chicago,2024-04-24,6344,0.94,1
EVT_0000,Taylor Swift - Chicago,2024-04-25,4812,0.87,1
EVT_0000,Taylor Swift - Chicago,2024-04-26,7186,0.91,1
EVT_0000,Taylor Swift - Chicago,2024-04-27,5245,0.65,1
EVT_0000,Taylor Swift - Chicago,2024-04-28,7076,0.92,1
EVT_0000,Taylor Swift - Chicago,2024-04-29,6739,0.61,1
EVT_0000,Taylor Swift - Chicago,2024-04-30,5686,0.68,1
EVT_0000,Taylor Swift - Chicago,2024-05-01,7872,0.82,1
EVT_0000,Taylor Swift - Chicago,2024-05-02,6671,0.72,1
EVT_0000,Taylor Swift - Chicago,2024-05-03,7149,0.9,1
EVT_0000,Taylor Swift - Chicago,2024-05-04,7820,0.86,1
EVT_0001,Yankees vs Red Sox - New York,2024-11-12,1165,0.89,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-13,1244,0.73,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-14,1019,0.88,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-15,1001,0.67,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-16,1138,0.94,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-17,1028,0.67,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-18,1382,0.75,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-19,1576,0.66,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-20,1656,0.71,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-21,1503,0.74,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-22,1290,0.88,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-23,1816,0.8,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-24,1496,0.92,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-25,1807,0.89,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-26,1445,0.65,0
EVT_0001,Yankees vs Red Sox - New York,2024-11-27,1498,0.62,0
